State	Organization	URL	LH_Perf	LH_A11y	LH_BP	LH_SEO	axe_violations	AuditStatus	Facebook	Instagram	YouTube	LinkedIn
Idaho	Teton Regional Land Trust	https://tetonlandtrust.org	53.0	85.0	82.0	77.0	7	OK	https://www.facebook.com/tetonlandtrust/?ref=ts	https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/517600735_1160263822805903_4655018287667632791_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=Ju1iAn-XyVgQ7kNvwFf9NUX&_nc_oc=AdlsrY3dzte_laLxiLJEXp2uU9b1PSHhZx2K7lkVNE7ycp1QfzxBynMRc9w-2FpJVZQ&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=vllZonvOdM7xjcWzctekqA&oh=00_AfR1DcZCryLN8ygYZDzvghkPNYj4WGdNuBqLPoE7eWk99g&oe=688273B1		https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.facebook.com%2F360428179647_1204707741694844&title=%09We%E2%80%99re%20hiring%20a%20Stewardship%20Director%21%20%F0%9F%8C%BFDo%20you%20have%20a%20passion%20for%20land%20conservation%20and%20strong%20leadership%20skills%3F%20Teton%20Regional%20Land%20Trust%20is%20looking%20for%20a%20Stewardship%20Director%20to%20guide%20our%20Stewardship%20Program%2C%20working%20with%20landowners%2C%20conservation%20partners%2C%20and%20our%20dedicated%20team%20to%20protect%20the%20wild%20and%20working%20lands%20of%20eastern%20Idaho.%F0%9F%8C%BFLead%20and%20oversee%20TRLT%E2%80%99s%20Stewardship%20Program%F0%9F%8C%BFBuild%20relationships%20with%20landowners%20%26amp%3B%20partners%F0%9F%8C%BFSupervise%20and%20support%20stewardship%20staffPlease%20submit%20a%20cover%20letter%20explaining%20your%20interest%20in%20the%20position%20with%20resume%20and%20three%20professional%20references%20to%20tamara%40tetonlandtrust.org.%20We%20will%20start%20reviewing%20applications%20on%20September%2015.Click%20here%20to%20learn%20more%3A%20tetonlandtrust.org%2Fconnect%2Femployment-opportunities%2F...%23Conservation%20%23NowHiring%20%23Stewardship%20%23LandTrust%20%23EasternIdaho%20%23CareersInConservation%20%23TetonRegionalLandTrust%20%23TRLT35%20%09%09
Idaho	Wood River Land Trust	https://www.woodriverlandtrust.org	60.0	92.0	96.0	83.0	2	OK	https://www.facebook.com/woodriver.landtrust	https://www.instagram.com/woodriverlandtrust/		
Illinois	Jo Daviess Conservation Foundation	https://www.jdcf.org	55.0	76.0	96.0	85.0	12	OK				
Illinois	Lake Forest Open Lands Association	https://www.lfola.org	57.0	90.0	93.0	92.0	5	OK				
Illinois	Natural Land Institute	https://www.naturalland.org	49.0	67.0	82.0	92.0	6	OK	https://www.facebook.com/NaturalLandInstitute/	https://www.instagram.com/nli1958/	https://www.youtube.com/channel/UCA2_6O0C8mCun6ErCJn0klA	
Illinois	Openlands	https://www.openlands.org	56.0	95.0	96.0	92.0	6	OK				
Illinois	Prairie Land Conservancy	https://www.prairielandconservancy.org	61.0	86.0	82.0	75.0	6	OK				
Illinois	The Conservation Foundation	https://www.theconservationfoundation.org	55.0	86.0	96.0	92.0	8	OK				
Illinois	The Land Conservancy of McHenry County	https://conservemc.org	57.0	85.0	100.0	85.0	5	OK	https://www.facebook.com/ConserveMC	https://www.instagram.com/conservemchenrycounty/	https://www.youtube.com/c/landconservancyofmchenrycounty	
Indiana	Central Indiana Land Trust	https://www.conservingindiana.org	55.0	92.0	100.0	92.0	3	OK				
Indiana	NICHES Land Trust	https://www.nicheslandtrust.org	78.0	86.0	96.0	100.0	6	OK	https://www.facebook.com/NICHEShelpingecosystemssurvive		https://www.youtube.com/user/NICHESLandTrust1	
Indiana	Shirley Heinze Land Trust	https://www.heinzetrust.org	58.0	90.0	82.0	77.0	7	OK				
Indiana	Sycamore Land Trust	https://sycamorelandtrust.org	64.0	59.0	96.0	77.0	5	OK	https://www.facebook.com/SycamoreLandTrust/	https://www.instagram.com/sycamorelandtrust/		
Iowa	Bur Oak Land Trust	https://buroaklandtrust.org	59.0	85.0	96.0	77.0	4	OK	https://www.facebook.com/BurOakLandTrust	https://www.instagram.com/buroaklandtrust/	https://www.youtube.com/channel/UC0Tpsm3tqmtQ9IUsCABgLJQ	https://www.linkedin.com/company/buroaklandtrust/
Iowa	Iowa Natural Heritage Foundation	https://www.inhf.org	62.0	94.0	100.0	92.0	4	OK	https://www.facebook.com/IowaNaturalHeritage/	https://www.instagram.com/inhf	https://www.youtube.com/@theinhf	
Kansas	Kansas Land Trust	https://www.klt.org	49.0	87.0	100.0	85.0	4	OK	https://www.facebook.com/squarespace	https://instagram.com/kansaslandtrust		
Kansas	Ranchland Trust of Kansas	https://www.ranchlandtrustofkansas.org	52.0	78.0	96.0	85.0	10	OK				
Kentucky	Bluegrass Land Conservancy	https://www.bluegrasslandconservancy.org	56.0	90.0	96.0	85.0	5	OK	https://www.facebook.com/bluegrassconservancy	https://www.instagram.com/blconservancy/		https://www.linkedin.com/company/bluegrass-conservancy
Kentucky	Kentucky Natural Lands Trust	https://knlt.org	41.0	88.0	93.0	85.0	8	OK	https://www.facebook.com/KentuckyNaturalLandsTrust	https://instagram.com/kywildlands/	https://www.youtube.com/channel/UC5qpmYk5ixckFc1h73FE8Mw	
Kentucky	Louisville & Jefferson County Environmental Trust	https://louisvilleky.gov/government/advanced-planning/land-trust	0.0	0.0	0.0	0.0	2	OK				
Kentucky	River Fields	https://www.riverfields.org	56.0	79.0	75.0	92.0	8	OK				
Kentucky	Woods and Waters Land Trust	https://woodsandwaterslandtrust.org					ERR	ManualReview				
Louisiana	Land Trust for Louisiana	https://www.landtrustforlouisiana.org	58.0	87.0	100.0	92.0	6	OK				
Maine	Androscoggin Land Trust	https://androscogginlandtrust.org	58.0	77.0	100.0	100.0	7	OK	//facebook.com/AndroscogginLandTrust/			
Maine	Bangor Land Trust	https://www.bangorlandtrust.org	61.0	90.0	75.0	83.0	5	OK	https://www.facebook.com/bangorlandtrust/	https://www.instagram.com/bangorlandtrust/		
Maine	Blue Hill Heritage Trust	https://www.bluehillheritagetrust.org	61.0	88.0	96.0	77.0	8	OK				
Maine	Boothbay Region Land Trust	https://bbrlt.org	56.0	84.0	100.0	85.0	7	OK	https://www.facebook.com/Boothbay-Region-Land-Trust-115571401800163/	https://www.instagram.com/boothbay_region_land_trust/	https://www.youtube.com/channel/UCRergpLHcBYhgIb-bqaqhzA	
Maine	Brunswick-Topsham Land Trust	https://www.btlt.org	55.0	91.0	96.0	100.0	6	OK	http://facebook.com/brunswicktopsham	https://www.instagram.com/brunswicktopsham/	https://www.youtube.com/@BtltOrg	https://www.linkedin.com/company/brunswick-topsham-land-trust/
Maine	Cape Elizabeth Land Trust	https://www.capelandtrust.org	56.0	89.0	68.0	83.0	4	OK	https://www.facebook.com/celtmaine	https://www.instagram.com/celtmaine/		
Maine	Chebeague & Cumberland Land Trust	https://www.ccltmaine.org	51.0	87.0	96.0	85.0	7	OK	https://www.facebook.com/ChebeagueAndCumberlandLandTrust/	http://instagram.com/chebeaguecumblandtrust		
Maine	Coastal Mountains Land Trust	https://www.coastalmountains.org	72.0	78.0	100.0	85.0	9	OK	https://www.facebook.com/coastalmountainslt/	https://www.instagram.com/coastal_mountains_land_trust/		
Maine	Coastal Rivers Conservation Trust	https://www.coastalrivers.org	68.0	87.0	100.0	85.0	7	OK	https://www.facebook.com/coastalrivers/	https://www.instagram.com/coastalriverstrust/	https://www.youtube.com/channel/UCAJwiQqTEE6-1SMCt-fK_CA	
Maine	Downeast Coastal Conservancy	https://www.downeastcoastalconservancy.org	54.0	82.0	100.0	85.0	7	OK				
Maine	Forest Society of Maine	https://www.fsmaine.org	61.0	81.0	100.0	92.0	5	OK	https://www.facebook.com/ForestSocietyofMaine/	https://www.instagram.com/forest_society_of_maine/		https://www.linkedin.com/company/forest-society-of-maine/
Maine	Frenchman Bay Conservancy	https://www.frenchmanbay.org	57.0	87.0	100.0	85.0	6	OK				
Maine	Georges River Land Trust	https://www.georgesriver.org	58.0	91.0	100.0	100.0	3	OK	https://www.facebook.com/GeorgesRiverLandTrust	https://www.instagram.com/georgesriverlandtrust/?hl=en		https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.georgesriver.org%2Fevent-details%2Ftrail-ecosystem-workshop-volunteer-workday
Maine	Great Pond Mountain Conservation Trust	https://greatpondtrust.org	57.0	63.0	96.0	85.0	9	OK				
Maine	Harpswell Heritage Land Trust	https://hhltmaine.org	57.0	93.0	100.0	85.0	6	OK	https://www.facebook.com/hhltmaine	https://www.instagram.com/harpswell_heritage_land_trust		
Maine	Kennebec Estuary Land Trust	https://www.kennebecestuary.org	48.0	89.0	96.0	85.0	8	OK	https://www.facebook.com/KennebecEstuaryLandTrust/	http://instagram.com/kennebec_estuary_land_trust		
Maine	Kennebec Land Trust	https://www.tklt.org	31.0	93.0	96.0	100.0	4	OK	https://www.facebook.com/kennebeclandtrust/			
Maine	Loon Echo Land Trust	https://www.loonecholandtrust.org	58.0	87.0	100.0	92.0	8	OK				
Maine	Mahoosuc Land Trust	https://www.mahoosuc.org	65.0	98.0	100.0	92.0	3	OK	https://www.facebook.com/mahoosuclandtrust/	https://www.instagram.com/mahoosuc_landtrust/		
Maine	Maine Coast Heritage Trust	https://www.mcht.org	52.0	88.0	100.0	100.0	3	OK	https://www.facebook.com/MaineCoastHeritageTrust/	https://www.instagram.com/maine_coast_heritage_trust/		https://www.linkedin.com/company/maine-coast-heritage-trust/
Maine	Maine Farmland Trust	https://www.mainefarmlandtrust.org	67.0	92.0	100.0	92.0	7	OK	https://www.facebook.com/mainefarmlandtrust	https://www.instagram.com/mainefarms/		
Maine	Midcoast Conservancy	https://www.midcoastconservancy.org	50.0	90.0	100.0	92.0	4	OK	https://www.facebook.com/MidcoastConservancy/	https://www.instagram.com/midcoastconservancy/?hl=en		
Maine	Oceanside Conservation Trust of Casco Bay	https://oceansidect.org					ERR	ManualReview				
Maine	Orono Land Trust	https://oronolandtrust.org	97.0	100.0	100.0	100.0	0	OK	https://www.facebook.com/Orono-Land-Trust-177483702284550	https://www.instagram.com/oronolandtrust/		
Maine	Rangeley Lakes Heritage Trust	https://rlht.org	60.0	95.0	82.0	92.0	6	OK	http://www.facebook.com/rlht.org	https://www.instagram.com/rangeleyheritagetrust/	https://www.youtube.com/channel/UCVTH70rqY_4SMvFMY2uVtPw	
Maine	Three Rivers Land Trust	https://3rlt.org	71.0	100.0	100.0	92.0	1	OK				
Maine	Vinalhaven Land Trust	https://vinalhavenlandtrust.org	50.0	87.0	100.0	92.0	5	OK	https://www.facebook.com/vinalhavenlandtrust/	https://www.instagram.com/vinalhaven_land_trust		
Maryland	American Chestnut Land Trust	https://www.acltweb.org	57.0	92.0	100.0	85.0	3	OK	https://www.facebook.com/AmericanChestnutLandTrust/	https://www.instagram.com/hikeaclt/	https://www.youtube.com/@acltamericanchestnutlandtr5048/videos	
Maryland	Eastern Shore Land Conservancy	https://www.eslc.org	54.0	90.0	82.0	85.0	2	OK	https://www.facebook.com/ESLCmd/	https://www.instagram.com/eslc_md/	https://www.youtube.com/@easternshorelandconservanc6273	
Maryland	Lower Shore Land Trust	https://lowershorelandtrust.org	69.0	100.0	96.0	92.0	1	OK				
Maryland	Potomac Conservancy	https://www.potomac.org	45.0	85.0	96.0	85.0	6	OK				
Maryland	Scenic Rivers Land Trust	https://www.srlt.org	64.0	92.0	96.0	85.0	7	OK	https://www.facebook.com/scenicrivers	https://www.instagram.com/scenicriverslandtrust/	https://www.youtube.com/@scenicriverslandtrust403/featured	https://www.linkedin.com/company/scenic-rivers-land-trust-inc
Massachusetts	Ashburnham Conservation Trust	https://ashburnhamconservationtrust.org	100.0	87.0	100.0	75.0	3	OK				
Massachusetts	Ashby Land Trust	https://ashbylandtrust.org	85.0	100.0	96.0	92.0	2	OK				
Massachusetts	Buzzards Bay Coalition	https://www.savebuzzardsbay.org	57.0	58.0	82.0	92.0	15	OK	https://www.facebook.com/savebuzzardsbay	https://www.instagram.com/savebuzzardsbay/	https://www.youtube.com/user/savebuzzardsbay	https://www.linkedin.com/company/9365674
Massachusetts	Dartmouth Natural Resources Trust	https://dnrt.org	47.0	89.0	79.0	77.0	3	OK	https://www.facebook.com/DNRTmain/	https://www.instagram.com/dnrt_org/		
Massachusetts	Groton Conservation Trust	https://www.gctrust.org	68.0	74.0	96.0	83.0	7	OK				
